Tamaño_MB,Secuencia,Algoritmo,Tiempo_segundos,Accesos_disco
4,1,Merge,9.28074,1028
4,1,Quick,0.477726,3072
4,2,Merge,8.32308,1028
4,2,Quick,0.507664,3072
4,3,Merge,8.23696,1028
4,3,Quick,0.446596,3072
4,4,Merge,9.23653,1028
4,4,Quick,0.495835,3072
4,5,Merge,10.9717,1028
4,5,Quick,0.567485,3072
8,1,Merge,18.2141,2052
8,1,Quick,1.00336,6144
8,2,Merge,19.5653,2052
8,2,Quick,0.858778,6144
8,3,Merge,15.8706,2052
8,3,Quick,0.991699,6144
8,4,Merge,15.6604,2052
8,4,Quick,0.88628,6144
8,5,Merge,15.7913,2052
8,5,Quick,0.954381,6144
12,1,Merge,23.294,3076
12,1,Quick,1.40131,9216
12,2,Merge,23.5188,3076
12,2,Quick,1.31644,9216
12,3,Merge,23.4887,3076
12,3,Quick,1.27506,9216
12,4,Merge,23.2639,3076
12,4,Quick,1.25101,9216
12,5,Merge,25.0951,3076
12,5,Quick,1.46223,9216
16,1,Merge,32.4748,4100
16,1,Quick,2.5259,12288
16,2,Merge,33.7044,4100
16,2,Quick,2.02552,12288
16,3,Merge,34.3082,4100
16,3,Quick,2.82075,12288
16,4,Merge,33.0539,4100
16,4,Quick,2.16019,12288
16,5,Merge,34.4051,4100
16,5,Quick,1.94708,12288
20,1,Merge,48.6665,5124
20,1,Quick,2.99343,15360
20,2,Merge,43.336,5124
20,2,Quick,2.86208,15360
20,3,Merge,43.1752,5124
20,3,Quick,2.08095,15360
20,4,Merge,43.5949,5124
20,4,Quick,2.15949,15360
20,5,Merge,43.8776,5124
20,5,Quick,2.51413,15360
24,1,Merge,50.3878,6148
24,1,Quick,2.57989,18432
24,2,Merge,47.9109,6148
24,2,Quick,2.97831,18432
